dataset_id,smiles_protonated,smiles_deprotonated,pKa,reaction_center_atom_idx,reaction_center_atom_symbol,reaction_center_charge_protonated,reaction_center_charge_deprotonated,reaction_center_Hs_protonated,reaction_center_Hs_deprotonated,reaction_center_hybridization,reaction_center_is_aromatic,reaction_center_is_in_ring,reaction_center_total_valence,internal_id_protonated,internal_id_deprotonated
mol47,C#CC(CC)(CC)[NH+](C)C(C)C,C#CC(CC)(CC)N(C)C(C)C,"8,800",7,N,1,0,1,0,SP3,FALSE,FALSE,4,95,96
mol48,C#CC(CC)(CC)[NH+](CC)C(C)C,C#CC(CC)(CC)N(CC)C(C)C,"8,200",7,N,1,0,1,0,SP3,FALSE,FALSE,4,97,98
mol49,C#CCC(=O)O,C#CCC(=O)[O-],"3,310",5,O,0,-1,1,0,SP2,FALSE,FALSE,2,99,100
mol50,C#CCCC(=O)O,C#CCCC(=O)[O-],"4,200",6,O,0,-1,1,0,SP2,FALSE,FALSE,2,101,102
mol51,C#CCCCC(=O)O,C#CCCCC(=O)[O-],"4,600",7,O,0,-1,1,0,SP2,FALSE,FALSE,2,103,104
mol52,C#CCCCCC(=O)O,C#CCCCCC(=O)[O-],"4,580",8,O,0,-1,1,0,SP2,FALSE,FALSE,2,105,106
mol53,C#CCCCCCC[NH3+],C#CCCCCCCN,"10,740",8,N,1,0,3,2,SP3,FALSE,FALSE,4,107,108
mol54,C#CCCCCC[NH3+],C#CCCCCCN,"10,640",7,N,1,0,3,2,SP3,FALSE,FALSE,4,109,110
mol55,C#CCCCC[NH+](C)C,C#CCCCCN(C)C,"9,240",1,N,1,0,1,0,SP3,FALSE,FALSE,4,111,112
mol56,C#CCCCC[NH3+],C#CCCCCN,"10,500",6,N,1,0,3,2,SP3,FALSE,FALSE,4,113,114
mol57,C#CCCCCn1c[n+](C)c(CN=O)n1,C#CCCCCn1c[n+](C)c([CH+]N=O)n1,"7,340",6,C,0,1,2,1,SP3,FALSE,FALSE,4,116,115
mol58,C#CCCC[NH+](C)C,C#CCCCN(C)C,"8,880",1,N,1,0,1,0,SP3,FALSE,FALSE,4,117,118
mol59,C#CCCC[NH3+],C#CCCCN,"10,210",5,N,1,0,3,2,SP3,FALSE,FALSE,4,119,120
mol60,C#CCC[NH+](C)C,C#CCCN(C)C,"8,330",1,N,1,0,1,0,SP3,FALSE,FALSE,4,121,122
mol61,C#CCC[NH3+],C#CCCN,"9,230",4,N,1,0,3,2,SP3,FALSE,FALSE,4,123,124
mol62,C#CCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,C#CCN(C1=NCCN1)c1c(Br)cccc1Br,"10,100",13,N,1,0,1,0,SP2,FALSE,TRUE,4,125,126
mol63,C#CCN(CC#C)C(=O)[C@@]1(c2cccs2)C[C@H]1C[NH3+],C#CCN(CC#C)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,"9,300",13,N,1,0,3,2,SP3,FALSE,FALSE,4,127,128
mol64,C#CCN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1C[NH3+],C#CCN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,"9,400",12,N,1,0,3,2,SP3,FALSE,FALSE,4,129,130
mol65,C#CCN[NH3+],C#CCNN,"5,460",4,N,1,0,3,2,SP3,FALSE,FALSE,4,131,132
mol66,C#CC[NH2+]c1ccccc1,C#CCNc1ccccc1,"3,060",3,N,1,0,2,1,SP3,FALSE,FALSE,4,133,134
mol67,C#CCOc1noc2c1C[NH2+]CC2,C#CCOc1noc2c1CNCC2,"7,600",11,N,1,0,2,1,SP3,FALSE,TRUE,4,135,136
mol68,C#CC[NH+](C)C,C#CCN(C)C,"7,050",1,N,1,0,1,0,SP3,FALSE,FALSE,4,138,137
mol69,C#CC[NH+](C)[C@H](C)Cc1ccccc1,C#CCN(C)[C@H](C)Cc1ccccc1,"8,015",9,N,1,0,1,0,SP3,FALSE,FALSE,4,139,140
mol70,C#CC[NH+]1CCN(C(=O)OCC)CC1,C#CCN1CCN(C(=O)OCC)CC1,"5,440",8,N,1,0,1,0,SP3,FALSE,TRUE,4,142,141
mol71,C#CC[NH+]1CCOCC1,C#CCN1CCOCC1,"5,540",3,N,1,0,1,0,SP3,FALSE,TRUE,4,144,143
mol72,C#CC[NH2+]CC#C,C#CCNCC#C,"6,080",3,N,1,0,2,1,SP3,FALSE,FALSE,4,146,145
mol73,C#CC[NH3+],C#CCN,"8,190",3,N,1,0,3,2,SP3,FALSE,FALSE,4,147,148
mol74,C#C[C@]1(O)C[C@@H](C)[NH+](C)[C@@H]2CCCC[C@H]21,C#C[C@]1(O)C[C@@H](C)N(C)[C@@H]2CCCC[C@H]21,"9,530",10,N,1,0,1,0,SP3,FALSE,TRUE,4,149,150
mol75,C#C[C@]1(O)C[C@@H](C)[NH+](C)[C@H]2CCCC[C@@H]21,C#C[C@]1(O)C[C@@H](C)N(C)[C@H]2CCCC[C@@H]21,"8,990",10,N,1,0,1,0,SP3,FALSE,TRUE,4,151,152
mol76,C#C[C@]1(O)C[C@@H](C)[NH2+][C@@H]2CCCC[C@H]21,C#C[C@]1(O)C[C@@H](C)N[C@@H]2CCCC[C@H]21,"9,730",10,N,1,0,2,1,SP3,FALSE,TRUE,4,153,154
mol77,C#C[C@]1(O)C[C@@H](C)[NH2+][C@H]2CCCC[C@@H]21,C#C[C@]1(O)C[C@@H](C)N[C@H]2CCCC[C@@H]21,"9,290",10,N,1,0,2,1,SP3,FALSE,TRUE,4,155,156
mol78,C#C[C@]1(O)C[C@H](C)[NH+](C)[C@@H]2CCCC[C@H]21,C#C[C@]1(O)C[C@H](C)N(C)[C@@H]2CCCC[C@H]21,"9,220",10,N,1,0,1,0,SP3,FALSE,TRUE,4,157,158
mol79,C#C[C@]1(O)C[C@H](C)[NH2+][C@@H]2CCCC[C@H]21,C#C[C@]1(O)C[C@H](C)N[C@@H]2CCCC[C@H]21,"9,630",10,N,1,0,2,1,SP3,FALSE,TRUE,4,159,160
mol80,C#N,[C-]#N,"9,180",0,C,0,-1,1,0,SP,FALSE,FALSE,4,161,162
mol81,C(=C/c1ccccc1)\CN1CC[NH+](C(c2ccccc2)c2ccccc2)CC1,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,"7,470",12,N,1,0,1,0,SP3,FALSE,TRUE,4,163,164
mol82,C(=C/c1cc[nH+]cc1)\c1ccccc1,C(=C/c1ccncc1)\c1ccccc1,"5,970",11,N,1,0,1,0,SP2,TRUE,TRUE,4,165,166
mol83,C(=C\c1cc[nH+]cc1)\c1ccccc1,C(=C\c1ccncc1)\c1ccccc1,"5,770",11,N,1,0,1,0,SP2,TRUE,TRUE,4,167,168
mol84,C(=[NH+]/c1ccccc1)\c1ccccc1,C(=N/c1ccccc1)\c1ccccc1,"4,550",7,N,1,0,1,0,SP2,FALSE,FALSE,4,169,170
mol85,C(Nc1ccccc1)=[NH+]c1ccccc1,C(=Nc1ccccc1)Nc1ccccc1,"6,300",8,N,1,0,1,0,SP2,FALSE,FALSE,4,172,171
mol86,C/C(=C(\CCO)SSCCC(C)C)N(C=O)Cc1c[nH+]c(C)nc1N,C/C(=C(\CCO)SSCCC(C)C)N(C=O)Cc1cnc(C)nc1N,"5,580",2,N,1,0,1,0,SP2,TRUE,TRUE,4,173,174
mol87,C/C(=C/Cl)C(=O)O,C/C(=C/Cl)C(=O)[O-],"3,050",6,O,0,-1,1,0,SP2,FALSE,FALSE,2,175,176
mol88,C/C(=C\Cl)C(=O)O,C/C(=C\Cl)C(=O)[O-],"4,030",6,O,0,-1,1,0,SP2,FALSE,FALSE,2,177,178
mol89,C/C(=C\c1ccccc1)CC(=O)O,C/C(=C\c1ccccc1)CC(=O)[O-],"5,350",12,O,0,-1,1,0,SP2,FALSE,FALSE,2,179,180
mol90,C/C(N)=N/[NH+](C)C,C/C(N)=N/N(C)C,"10,000",3,N,1,0,1,0,SP3,FALSE,FALSE,4,181,182
mol91,C/C(N)=[NH+]/O,C/C(N)=N/O,"5,900",2,N,1,0,1,0,SP2,FALSE,FALSE,4,184,183
mol92,C/C(O)=C/C(N)=O,C/C([O-])=C/C(N)=O,"9,460",6,O,0,-1,1,0,SP2,FALSE,FALSE,2,185,186
mol93,C/C=C(/C)C(=O)O,C/C=C(/C)C(=O)[O-],"4,300",6,O,0,-1,1,0,SP2,FALSE,FALSE,2,187,188
mol94,C/C=C(\Cl)C(=O)O,C/C=C(\Cl)C(=O)[O-],"3,220",5,O,0,-1,1,0,SP2,FALSE,FALSE,2,189,190
mol95,C/C=C/C#CC(=O)O,C/C=C/C#CC(=O)[O-],"2,670",7,O,0,-1,1,0,SP2,FALSE,FALSE,2,191,192
mol96,C/C=C/C(=O)O,C/C=C/C(=O)[O-],"4,790",5,O,0,-1,1,0,SP2,FALSE,FALSE,2,193,194
mol97,C/C=C/C1=C(O)c2ccccc2C(=O)C1=O,C/C=C/C1=C([O-])c2ccccc2C(=O)C1=O,"4,780",15,O,0,-1,1,0,SP2,FALSE,FALSE,2,195,196
mol98,C/C=C/C=C/C(=O)O,C/C=C/C=C/C(=O)[O-],"4,530",7,O,0,-1,1,0,SP2,FALSE,FALSE,2,197,198
mol99,C/C=C/CC(=O)O,C/C=C/CC(=O)[O-],"4,280",6,O,0,-1,1,0,SP2,FALSE,FALSE,2,199,200
mol100,C/C=C/CCC(=O)O,C/C=C/CCC(=O)[O-],"4,720",7,O,0,-1,1,0,SP2,FALSE,FALSE,2,201,202
mol101,C/C=C/CN(C1=[NH+]CCN1)c1c(Br)cccc1Br,C/C=C/CN(C1=NCCN1)c1c(Br)cccc1Br,"11,000",14,N,1,0,1,0,SP2,FALSE,TRUE,4,203,204
mol102,C/C=C/COc1noc2c1C[NH2+]CC2,C/C=C/COc1noc2c1CNCC2,"7,700",12,N,1,0,2,1,SP3,FALSE,TRUE,4,205,206
mol103,C/C=C1/C[NH+]2[C@@H]3C[C@H]1C1[C@@H](O)[C@]4(C[C@@H]12)c1ccccc1N(C)[C@@H]34,C/C=C1/CN2[C@@H]3C[C@H]1C1[C@@H](O)[C@]4(C[C@@H]12)c1ccccc1N(C)[C@@H]34,"8,500",4,N,1,0,1,0,SP3,FALSE,TRUE,4,207,208
mol104,C/C=C\C=C/C(=O)O,C/C=C\C=C/C(=O)[O-],"4,510",7,O,0,-1,1,0,SP2,FALSE,FALSE,2,209,210
mol105,C/[NH+]=C(/SC)c1ccccc1,C/N=C(/SC)c1ccccc1,"6,420",1,N,1,0,1,0,SP2,FALSE,FALSE,4,211,212
mol107,C/N=C(\NC#N)Nc1cccc(-c2csc([NH+]=C(N)N)n2)c1,C/N=C(\NC#N)Nc1cccc(-c2csc(N=C(N)N)n2)c1,"6,200",18,N,1,0,1,0,SP2,FALSE,FALSE,4,214,213
mol112,C1=C(c2ccccc2)C2CC[NH+]1CC2,C1=C(c2ccccc2)C2CCN1CC2,"9,100",8,N,1,0,1,0,SP3,FALSE,TRUE,4,215,216
mol113,C1=C(c2ccco2)C2CC[NH+]1CC2,C1=C(c2ccco2)C2CCN1CC2,"8,920",7,N,1,0,1,0,SP3,FALSE,TRUE,4,217,218
mol114,C1=C(c2nc3ccccc3o2)C2CC[NH+]1CC2,C1=C(c2nc3ccccc3o2)C2CCN1CC2,"7,230",11,N,1,0,1,0,SP3,FALSE,TRUE,4,220,219
mol115,C1=C(c2nc3ccccc3s2)C2CC[NH+]1CC2,C1=C(c2nc3ccccc3s2)C2CCN1CC2,"7,400",11,N,1,0,1,0,SP3,FALSE,TRUE,4,222,221
mol116,C1=C[NH+]2CCC1CC2,C1=CN2CCC1CC2,"9,820",2,N,1,0,1,0,SP3,FALSE,TRUE,4,223,224
mol117,C1=NC(c2ccccc2)[NH2+]C1,C1=NC(c2ccccc2)NC1,"6,480",7,N,1,0,2,1,SP3,FALSE,TRUE,4,226,225
mol118,C1=[NH+]C[NH2+]C1,C1=NC[NH2+]C1,"6,990",2,N,1,0,1,0,SP2,FALSE,TRUE,4,227,228
mol119,C1CC2CC1NN2,C1CC2CC1[N-]N2,"7,940",6,N,0,-1,1,0,SP3,FALSE,TRUE,3,229,230
mol120,C1CC2CCC1C[NH2+]2,C1CC2CCC1CN2,"11,000",7,N,1,0,2,1,SP3,FALSE,TRUE,4,231,232
mol121,C1CC2CCC[NH+]2C1,C1CC2CCCN2C1,"11,740",6,N,1,0,1,0,SP3,FALSE,TRUE,4,233,234
mol122,C1CCC(C2=[NH+]CCC2)CC1,C1CCC(C2=NCCC2)CC1,"6,050",7,N,1,0,1,0,SP2,FALSE,TRUE,4,235,236
mol123,C1CCC(C2CCC[NH2+]2)CC1,C1CCC(C2CCCN2)CC1,"10,800",10,N,1,0,2,1,SP3,FALSE,TRUE,4,237,238
mol124,C1CCC([NH+]2CCCC2)CC1,C1CCC(N2CCCC2)CC1,"10,700",6,N,1,0,1,0,SP3,FALSE,TRUE,4,239,240
mol125,C1CCC2C[NH2+]CCC2C1,C1CCC2CNCCC2C1,"10,950",5,N,1,0,2,1,SP3,FALSE,TRUE,4,241,242
mol126,C1CCC2[NH2+]CCCC2C1,C1CCC2NCCCC2C1,"10,900",9,N,1,0,2,1,SP3,FALSE,TRUE,4,243,244
mol127,C1CCC[NH2+]CC1,C1CCCNCC1,"10,940",4,N,1,0,2,1,SP3,FALSE,TRUE,4,245,246
mol128,C1CCC[NH2+]CCC1,C1CCCNCCC1,"10,780",4,N,1,0,2,1,SP3,FALSE,TRUE,4,247,248
mol129,C1CCN([NH+]2CCCC2)C1,C1CCN(N2CCCC2)C1,"7,160",5,N,1,0,1,0,SP3,FALSE,TRUE,4,249,250
mol130,C1CCN([NH+]2CCCCC2)CC1,C1CCN(N2CCCCC2)CC1,"7,090",6,N,1,0,1,0,SP3,FALSE,TRUE,4,251,252
mol131,C1CC[NH+]2CCCCN2C1,C1CCN2CCCCN2C1,"6,790",8,N,1,0,1,0,SP3,FALSE,TRUE,4,253,254
mol132,C1CC[NH2+]C1,C1CCNC1,"11,285",3,N,1,0,2,1,SP3,FALSE,TRUE,4,255,256
mol133,C1CC[NH2+]CC1,C1CCNCC1,"11,180",3,N,1,0,2,1,SP3,FALSE,TRUE,4,257,258
mol134,C1CCc2c(n[nH+]c3c2CCCC3)C1,C1CCc2c(nnc3c2CCCC3)C1,"6,120",8,N,1,0,1,0,SP2,TRUE,TRUE,4,259,260
mol135,C1CCc2n[nH+]c3c(c2CC1)CCCC3,C1CCc2nnc3c(c2CC1)CCCC3,"6,030",6,N,1,0,1,0,SP2,TRUE,TRUE,4,261,262
mol137,C1COC(NC(C2CC2)C2CC2)=[NH+]1,C1COC(NC(C2CC2)C2CC2)=N1,"9,260",9,N,1,0,1,0,SP2,FALSE,TRUE,4,263,264
mol138,C1COCCOCc2n[nH]c(n2)COCCOCCO1,C1COCCOCc2n[n-]c(n2)COCCOCCO1,"9,550",8,N,0,-1,1,0,SP2,TRUE,TRUE,3,265,266
mol139,C1COCC[NH2+]1,C1COCCN1,"8,483",5,N,1,0,2,1,SP3,FALSE,TRUE,4,267,268
mol140,C1CSCC[NH2+]1,C1CSCCN1,"9,050",5,N,1,0,2,1,SP3,FALSE,TRUE,4,269,270
mol141,C1CSC[NH2+]1,C1CSCN1,"6,310",4,N,1,0,2,1,SP3,FALSE,TRUE,4,272,271
mol142,C1C[NH+](CC2CO2)CCO1,C1CN(CC2CO2)CCO1,"5,880",5,N,1,0,1,0,SP3,FALSE,TRUE,4,274,273
mol143,C1C[NH+]2CCC1CC2,C1CN2CCC1CC2,"11,040",2,N,1,0,1,0,SP3,FALSE,TRUE,4,275,276
mol144,C1C[NH+]2CC[C@@H]3OC[C@H]1[C@@H]32,C1CN2CC[C@@H]3OC[C@H]1[C@@H]32,"9,440",2,N,1,0,1,0,SP3,FALSE,TRUE,4,277,278
mol145,C1C[NH+]=C2NCCC2C1,C1CN=C2NCCC2C1,"11,700",7,N,1,0,1,0,SP2,FALSE,TRUE,4,279,280
mol146,C1C[NH2+]1,C1CN1,"6,050",2,N,1,0,2,1,SP3,FALSE,TRUE,4,282,281
mol147,C1C[NH2+]C1,C1CNC1,"10,995",2,N,1,0,2,1,SP3,FALSE,TRUE,4,283,284
mol148,C1OC1C[NH+](CC1CO1)CC1CO1,C1OC1CN(CC1CO1)CC1CO1,"5,010",4,N,1,0,1,0,SP3,FALSE,FALSE,4,286,285
mol149,C=C(Br)COc1noc2c1C[NH2+]CC2,C=C(Br)COc1noc2c1CNCC2,"7,600",11,N,1,0,2,1,SP3,FALSE,TRUE,4,287,288
mol150,C=C(C(=O)O[C@H]1C[C@@H]2[C@@H]3O[C@@H]3[C@H](C1)[NH+]2C)c1ccccc1,C=C(C(=O)O[C@H]1C[C@@H]2[C@@H]3O[C@@H]3[C@H](C1)N2C)c1ccccc1,"7,720",1,N,1,0,1,0,SP3,FALSE,TRUE,4,289,290
mol151,C=C(C)C(=O)NC(C)(C)CC[NH+](C)C,C=C(C)C(=O)NC(C)(C)CCN(C)C,"9,370",11,N,1,0,1,0,SP3,FALSE,FALSE,4,291,292
mol152,C=C(C)C(=O)NC(C)C[NH+](C)C,C=C(C)C(=O)NC(C)CN(C)C,"8,510",3,N,1,0,1,0,SP3,FALSE,FALSE,4,293,294
mol153,C=C(C)C(=O)NCCC[NH+](C)C,C=C(C)C(=O)NCCCN(C)C,"9,250",9,N,1,0,1,0,SP3,FALSE,FALSE,4,295,296
mol154,C=C(C)C(=O)NCC[NH+](C)C,C=C(C)C(=O)NCCN(C)C,"8,540",8,N,1,0,1,0,SP3,FALSE,FALSE,4,297,298
mol155,C=C(C)C(=O)NCC[NH+](CC)CC,C=C(C)C(=O)NCCN(CC)CC,"9,370",2,N,1,0,1,0,SP3,FALSE,FALSE,4,299,300
mol156,C=C(C)C(=O)OC(C)C[NH+](C)C,C=C(C)C(=O)OC(C)CN(C)C,"7,960",3,N,1,0,1,0,SP3,FALSE,FALSE,4,301,302
mol157,C=C(C)C(=O)OC(C)C[NH+](CC)CC,C=C(C)C(=O)OC(C)CN(CC)CC,"8,650",2,N,1,0,1,0,SP3,FALSE,FALSE,4,303,304
mol158,C=C(C)C(=O)OCCC[NH3+],C=C(C)C(=O)OCCCN,"9,620",9,N,1,0,3,2,SP3,FALSE,FALSE,4,305,306
