idx,smiles,pka
28,CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](O)CC(=O)[C@H]1C/C=C/CCCC(=O)[O-],4.77
29,CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](O)CC(=O)[C@H]1CCCCCCC(=O)[O-],4.87
30,CCCCOc1ccc(C(=O)CC[NH+]2CCCCC2)cc1,9.0
31,CCCOC(=O)NCCC[NH+](C)C,9.48
32,CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[NH+](C)C1,7.72
33,CCN(C)C(=O)Oc1cccc(C(C)[NH+](C)C)c1,8.8
34,CCN(CC)C(=O)Nc1ccc(OCC(O)C[NH2+]C)c(C(C)=O)c1,9.66
35,CCOC(=O)C1=C[C@]2(CC)CCC[NH+]3CCc4c(n1c1ccccc41)[C@@H]32,7.1
36,CCOC(=O)[C@@H]1CN(Cc2ccccc2)CC1C(F)(F)F,5.4
37,CCOC(=O)[C@@H]1CN(Cc2ccccc2)C[C@@H]1C(F)(F)F,5.4
38,CC[NH+]1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,9.3
39,CC[NH2+]C,10.9
40,CN1c2ccccc2C(=O)N(CC[NH+](C)C)c2ccccc21,8.28
41,COC(=O)[C@@H]1C2CCC(C[C@@H]1OC(=O)c1ccccc1)[NH+]2C,8.7
42,COC(=O)[C@@H]1[C@@H](O)C[C@@H]2CC[C@H]1[NH+]2C,8.15
43,COC1C=CC(CN2C(=O)[C@H]3C([C@@H]4CCC[NH+]4[C@H]3c3ccc(C#N)cc3)[C@H]2CC(F)F)=CC1,6.0
44,COCCc1ccc(OC[C@H](O)C[NH2+]C(C)C)cc1,9.56
45,COc1cc(C[NH+]2CCC3(C=Cc4ccccc43)CC2)cc(OC)c1OC,8.4
46,COc1cc2c(cc1OC)[C@@]13CC[NH+]4CC5=CCOC6CC(=O)N2C1[C@@H]6[C@@H]5C[C@@H]43,8.28
47,COc1ccc(C(=O)CCC(=O)[O-])cc1,4.7
48,COc1ccc(C[C@H](C)[NH3+])cc1,9.99
49,COc1ccc(OC)c([C@H](O)[C@@H](C)[NH3+])c1,9.32
50,COc1ccc2[nH+]c(-c3ccccc3)cc(N)c2c1,8.7
51,COc1ccc2c3c1O[C@H]1[C@@H](O)C=CC4[C@@H](C2)[NH+](C)CC[C@@]341,8.22
52,COc1ccc2c3c1O[C@H]1[C@@H](O)C=CC4[C@@H](C2)[NH2+]CC[C@@]341,9.23
53,COc1cccc(C[C@H](C)[NH3+])c1,9.86
54,C[C@@H](O)C(=O)[O-],3.86
55,C[C@@H]([NH3+])[C@@H](O)c1ccccc1,09.05
56,C[C@H](CCC(=O)[O-])C1CC[C@H]2C3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,05.04
57,C[C@H](CCC(=O)[O-])C1CC[C@H]2C3[C@H](CC[C@]12C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,05.03
58,C[C@H](O)C(=O)[O-],3.86
59,C[C@H]([NH3+])Cc1ccccc1,9.94
60,C[C@H]([NH3+])[C@@H](O)c1ccccc1,9.19
61,C[NH+](C)CC/C=C1\c2ccccc2COc2ccccc21,8.7
62,C[NH+](C)CCCC#N,8.7
63,C[NH+](C)CCCCC#N,9.5
64,C[NH+](C)CCCCS(=O)(=O)c1ccccc1,9.3
65,C[NH+](C)CCCCS(=O)c1ccccc1,9.4
66,C[NH+](C)CCCCSc1ccccc1,9.8
67,C[NH+](C)CCCNC(=O)c1ccccc1,9.3
68,C[NH+](C)CCCOc1nn(Cc2ccccc2)c2ccccc12,9.27
69,C[NH+](C)CCNC(=O)c1ccccc1,8.5
70,C[NH+](C)CCOC1(c2ccccc2)CC2CCC1(C)C2(C)C,9.61
71,C[NH+]1[C@H]2CC[C@@H]1CC(O)C2,10.195
72,C[NH+]1[C@H]2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2,9.84
73,C[NH+]1[C@H]2CC[C@@H]1CC(OC(=O)[C@H](CO)c1ccccc1)C2,9.84
74,C[NH2+]C(C)(C)Cc1ccccc1,10.37
75,C[NH2+]C(C)Cc1ccccc1OC,10.45
76,C[NH2+]C1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21,8.0
77,C[NH2+][C@@H](C)Cc1ccccc1,9.99
78,C[NH2+][C@H](C)[C@@H](O)c1ccccc1,9.73
79,Cc1c(Cl)cccc1-n1ncc(C(=O)Nc2nccs2)c1C1CC[NH2+]CC1,9.9
80,Cc1cc(=O)oc2cc(C3OC(C(=O)[O-])C(O)C(O)C3O)ccc12,2.82
81,Cc1cc(Cl)ccc1O[C@H](C)C(=O)[O-],3.21
82,Cc1ccc(-n2ncc(C(=O)Nc3nccs3)c2C2CC[NH2+]CC2)cc1C,10.0
87,Cc1cccc(-n2ncc(C(=O)Nc3nccs3)c2C2CC[NH2+]CC2)c1,10.0
88,Cn1nnnc1SCC1CS[C@@H]2C(=NC(=O)[C@H](O)c3ccccc3)C(=O)N2C1C(=O)[O-],3.4
90,FC1(F)CCNC1,7.5
91,FC1CC[NH2+]C1,9.4
92,F[C@@H]1C[NH2+]CC[C@H]1Cc1ccccc1,8.8
93,F[C@H]1C[NH2+]CC[C@H]1Cc1ccccc1,9.3
94,N#CC1CC(F)CN1,4.0
96,N#Cc1ccc2c(c1)N(CCCC[NH+]1CCC(O)CC1)c1ccccc1S2,8.76
97,NCCS(=O)(=O)c1ccccc1,7.8
98,Nc1c2c([nH+]c3ccccc13)-c1ccccc1CC2,8.1
99,Nc1cc(-c2ccccc2)[nH+]c2ccc(Br)cc12,7.4
100,Nc1cc(-c2ccccc2)[nH+]c2ccc(Cl)cc12,7.4
101,O=C(CCC[NH+]1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,7.6
102,O=C(N[C@H]1CCCC[C@H]1C(=O)[O-])c1ccccc1,3.3
103,O=C([O-])COc1ccc(Cl)cc1Cl,2.64
104,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,3.62
105,O=C([O-])c1ccccc1-c1ncc(-c2ccccc2)o1,2.9
106,O=C([O-])c1ccccc1C(=O)Nc1nc(-c2ccccc2)cs1,3.4
107,O=C([O-])c1ccccc1Nc1cccc(C(F)(F)F)c1,04.09
108,O=C([O-])c1nc(Cl)ccc1Cl,2.32
109,O=C1CCCN1CC#CC[NH+]1CCCC1,8.4
110,O=C1C[C@@H]2OCC=C3C[NH+]4CC[C@]56c7ccccc7N1[C@H]5C2[C@H]3C[C@H]46,8.26
111,O=S1(=O)CCNCC1,5.4
112,[NH3+]C(CO)(CO)CO,08.08
113,[NH3+]CCCCCS(=O)(=O)c1ccccc1,10.4
114,[NH3+]CCCCCSc1ccccc1,10.5
115,[NH3+]CCCCS(=O)(=O)c1ccccc1,10.0
116,[NH3+]CCCCSc1ccccc1,10.4
117,[NH3+]CCCS(=O)(=O)c1ccccc1,9.2
118,[NH3+]CCCSc1ccccc1,9.9
119,[NH3+]CCSc1ccccc1,9.0
120,[NH3+]Cc1cc(-c2ccccc2)nc2ccccc12,8.37
121,c1ccc(N2CC[NH2+]CC2)cc1,9.0
122,c1cnc(N2CC[NH2+]CC2)nc1,8.9
